Daily Time Spent on Site,Age,Area Income,Daily Internet Usage,Male
49.84,38,67781.31,135.24,1
46.89,48,72553.94,176.78,1
85.73,32,43778.88,147.75,1
41.47,31,60953.93,219.79,0
60.94,41,76893.84,154.97,0
62.26,37,77988.71,166.19,0
74.58,40,23821.72,135.51,1
53.3,34,44893.71,111.94,0
78.58,33,51772.58,250.11,1
83.86,31,64122.36,190.25,0
70.05,33,75560.65,203.44,0
87.14,31,58235.21,199.4,1
57.51,38,47682.28,105.71,0
66.03,22,59422.47,217.37,0
87.85,31,52178.98,210.27,1
43.65,39,63649.04,138.87,0
78.64,31,60283.47,235.28,1
32.6,45,48206.04,185.47,0
83.89,28,60188.38,180.88,1
71.83,40,22205.74,135.48,1
81.37,33,66412.04,215.04,0
44.33,37,52723.34,123.72,1
43.88,54,31523.09,166.85,1
68.94,54,30726.26,138.71,0
88.04,45,62589.84,191.17,1
73.57,30,70377.23,212.38,0
68.1,40,74903.41,227.73,1
39.96,45,59610.81,146.13,1
35.11,35,47638.3,158.03,1
74.62,36,73207.15,217.79,0
83.66,38,68877.02,175.14,0
83.47,39,64447.77,226.11,0
84.81,32,43299.63,233.93,1
74.54,24,57518.73,219.75,0
40.47,38,24078.93,203.9,0
79.4,35,63966.72,236.87,0
72.53,37,73474.82,223.93,0
77.69,22,48852.58,169.88,1
78.24,23,54106.21,199.29,0
78.57,36,64045.93,239.32,1
77.44,28,65620.25,210.39,0
34.04,34,40182.84,174.88,1
66.69,35,48758.92,108.27,0
87.09,36,57737.51,221.98,1
45.05,42,66348.95,141.36,0
85.35,37,64235.51,161.42,1
64.1,22,60465.72,215.93,0
59.61,21,60637.62,198.45,1
39.86,28,51171.23,161.24,0
56.64,38,61652.53,115.91,0
80.49,40,67186.54,229.12,1
49.84,39,45800.48,111.59,0
45.82,27,64410.8,171.24,1
89.34,32,50216.01,177.78,1
82.68,33,62669.59,222.77,1
42.04,49,67323.0,182.11,0
82.95,39,69805.7,201.29,0
81.25,33,65186.58,222.35,1
64.79,30,42251.59,116.07,0
77.05,27,66624.6,191.14,0
59.7,28,49158.5,120.25,0
74.71,46,37908.29,258.06,1
55.46,37,42078.89,108.1,0
57.86,30,18819.34,166.86,0
85.56,29,53673.08,210.46,0
85.26,32,55424.24,224.07,1
83.97,28,56986.73,205.5,1
57.82,46,48867.36,107.56,1
75.83,27,67516.07,200.59,0
65.77,21,42162.9,218.61,1
61.82,59,57877.15,151.93,1
48.86,54,53188.69,134.46,0
81.56,26,51363.16,213.7,1
82.37,30,63664.32,207.44,0
84.59,36,47169.14,241.8,1
65.53,19,51049.47,190.17,1
85.84,34,64654.66,192.93,1
71.4,30,72188.9,166.31,0
80.91,32,61608.23,231.42,0
39.34,43,31215.88,148.93,0
81.61,33,62667.51,228.76,0
70.39,32,47357.39,261.52,1
75.15,33,71296.67,219.49,1
50.43,46,57425.87,119.32,1
37.75,36,35466.8,225.24,0
77.2,33,49325.48,254.05,1
71.27,21,50147.72,216.03,1
80.94,36,60803.0,239.94,0
79.52,24,51739.63,214.23,0
80.96,39,67866.95,225.0,1
53.22,44,44307.18,108.85,0
49.13,32,41097.17,120.49,0
78.32,28,49309.14,239.52,0
76.2,37,75044.35,178.51,0
38.1,34,60641.09,214.38,1
81.51,41,53412.32,250.03,0
67.51,43,23942.61,127.2,0
79.61,31,58342.63,235.97,0
84.08,30,62336.39,187.36,1
76.42,26,60315.19,223.16,1
75.03,34,35764.49,255.57,0
82.07,25,46722.07,205.38,1
60.72,44,42995.8,105.69,0
46.37,52,32847.53,144.27,0
84.73,30,39840.55,153.76,0
49.58,26,56791.75,231.94,0
85.24,31,61840.26,182.84,1
51.58,33,49822.78,115.91,0
48.03,40,25598.75,134.6,1
34.78,48,42861.42,208.21,1
72.92,29,69428.73,217.1,1
37.58,52,51600.47,176.7,1
54.47,23,46780.09,141.52,0
77.51,36,73600.28,200.55,0
36.62,32,51119.93,162.44,1
47.74,33,22456.04,154.93,1
73.95,35,67714.82,238.58,0
46.14,28,39723.97,137.97,1
70.04,31,74780.74,183.85,1
81.75,24,52656.13,190.08,1
44.96,50,52802.0,132.71,1
66.14,41,78092.95,165.27,0
80.87,28,63528.8,203.3,0
46.04,32,65499.93,147.92,0
68.11,38,73884.48,231.21,0
72.94,31,74159.69,190.84,0
88.97,45,49269.98,152.49,0
65.07,24,57545.56,233.85,0
38.65,31,51812.71,154.77,1
55.39,37,23936.86,129.41,0
59.51,58,39132.64,140.83,0
73.19,25,64267.88,203.74,1
77.47,36,70510.59,222.91,1
40.67,35,48913.07,133.18,0
70.13,31,70889.68,224.98,0
85.86,34,63115.34,208.23,0
84.0,48,46868.53,136.21,1
85.37,36,66262.59,194.56,1
51.65,31,58996.56,249.99,0
54.97,31,51900.03,116.38,1
88.82,36,58638.75,169.1,0
73.3,36,68211.35,135.72,1
83.97,40,66291.67,158.42,1
62.26,26,70203.74,202.77,0
83.91,29,53223.58,222.87,0
81.38,31,64929.61,212.3,0
73.46,28,65653.47,222.75,1
76.7,36,71136.49,222.25,0
74.38,40,74024.61,220.05,1
43.49,45,47968.32,124.67,0
80.46,27,61625.87,207.96,1
41.39,41,68962.32,167.22,0
42.39,42,66541.05,150.99,0
74.61,38,71055.22,231.28,1
80.53,29,66345.1,187.64,0
79.71,34,69456.83,211.65,1
61.76,34,33553.9,114.69,0
78.74,28,64828.0,204.79,1
56.78,28,39939.39,124.32,0
43.57,36,50971.73,125.2,1
78.51,25,59106.12,205.71,1
36.91,48,54645.2,159.69,0
71.14,30,69758.31,224.82,0
36.73,34,46737.34,149.79,1
82.87,37,67938.77,213.36,0
50.6,48,65956.71,135.67,0
56.93,37,57887.64,111.8,0
56.89,37,37334.78,109.29,1
38.35,41,34886.01,144.69,1
71.03,32,57846.68,120.85,0
39.86,36,32593.59,145.85,0
89.0,37,52079.18,222.26,1
40.18,29,50760.23,151.96,0
41.84,49,37605.11,139.32,0
82.58,38,65496.78,225.23,1
89.05,45,57868.44,206.98,0
80.47,42,70505.06,215.18,1
60.07,42,65963.37,120.75,1
75.94,27,53042.51,236.96,1
37.87,52,56394.82,188.56,1
62.26,53,56770.79,125.45,1
82.79,32,54429.17,234.81,1
61.87,35,66629.61,250.2,1
72.19,33,61275.18,250.35,1
76.07,36,68033.54,235.56,0
73.84,31,42042.95,121.05,0
74.65,28,67669.06,212.56,0
67.71,25,63430.33,225.76,1
70.09,21,54725.87,211.17,0
48.09,33,19345.36,180.42,0
76.76,25,50468.36,230.77,1
62.33,43,68787.09,127.11,0
86.19,31,57669.41,210.26,1
32.91,37,51691.55,181.02,0
77.88,37,55353.41,254.57,0
40.19,37,55358.88,136.99,0
64.67,51,24316.61,138.35,1
70.66,43,63450.96,120.95,1
87.16,33,60805.93,197.15,0
63.89,40,51317.33,105.22,0
49.35,49,44304.13,119.86,0
44.64,36,55787.58,127.01,0
38.96,38,36497.22,140.67,1
54.39,20,52563.22,171.9,1
78.74,27,51409.45,234.75,0
63.11,34,63107.88,254.94,1
47.48,31,29359.2,141.34,0
68.37,35,73889.99,225.58,0
52.7,34,58543.94,118.6,1
83.69,36,68717.0,192.57,0
62.14,41,59397.89,110.93,1
72.01,31,57756.89,251.0,0
51.63,51,42415.72,120.37,1
72.03,34,70783.94,230.95,1
73.1,28,57014.84,242.37,0
75.65,39,64021.55,247.9,1
42.06,34,43241.19,131.55,0
84.53,33,61922.06,215.18,1
44.46,42,30487.48,132.66,1
34.66,32,48246.6,194.83,0
83.4,39,60879.48,235.01,0
73.88,29,63109.74,233.61,0
75.71,34,62109.8,246.06,0
35.34,45,46693.76,152.86,0
81.21,36,63394.41,233.04,0
44.16,42,61690.93,133.42,1
38.35,33,47447.89,145.48,1
34.86,38,49942.66,154.75,0
50.33,50,62657.53,133.2,1
70.29,26,62053.37,231.37,1
67.69,37,76408.19,216.57,0
56.34,50,68713.7,139.02,1
66.17,26,63580.22,228.7,0
71.84,47,76003.47,199.79,1
43.16,35,25371.52,156.11,1
87.18,31,58287.86,193.6,0
59.64,51,71455.62,153.12,1
60.75,42,69775.75,247.05,1
55.92,24,33951.63,145.08,0
69.86,25,50506.44,241.36,0
83.71,45,64564.07,220.48,1
73.89,35,70495.64,229.99,1
69.5,26,68348.99,203.84,0
70.68,31,74430.08,199.08,0
40.06,38,56782.18,138.68,1
55.6,23,30227.98,212.58,0
34.87,40,59621.02,200.23,0
87.35,35,58114.3,158.29,1
78.76,24,46422.76,219.98,1
77.05,31,62161.26,236.64,0
59.59,42,43662.1,104.78,1
76.56,30,68030.18,213.75,0
61.88,42,60223.52,112.19,1
54.88,24,32006.82,148.61,0
75.15,22,52011.0,212.87,1
41.28,50,50960.08,140.39,0
71.55,36,75687.46,163.99,1
32.6,38,40159.2,190.05,0
84.53,35,54773.99,236.29,0
51.38,59,42362.49,158.56,0
72.23,48,52736.33,115.35,0
43.67,31,25686.34,166.29,1
53.54,39,47314.45,108.03,0
66.63,60,60333.38,176.98,0
70.61,28,72154.68,190.12,0
46.84,45,34903.67,123.22,0
84.29,30,56984.09,160.33,1
44.98,49,52336.64,129.31,0
86.38,40,66359.32,188.27,1
52.84,43,28495.21,122.31,0
75.83,24,58019.64,162.44,0
54.35,42,76984.21,164.02,0
78.6,46,41768.13,254.59,1
35.0,40,46033.73,151.25,1
50.08,30,41629.86,123.91,0
43.07,36,60583.02,137.63,1
42.51,30,54755.71,144.77,1
58.6,19,44490.09,197.93,1
38.37,36,41229.16,140.46,0
62.95,60,36752.24,157.04,0
74.87,52,43698.53,126.97,0
78.18,23,52691.79,167.67,0
43.7,28,63126.96,173.01,0
78.54,35,72524.86,172.1,0
54.43,37,75180.2,154.74,1
79.53,33,61467.33,236.72,0
65.65,30,72209.99,158.05,0
41.67,36,53817.02,132.55,0
81.95,31,64698.58,208.76,1
79.6,28,56570.06,227.37,1
63.8,38,36037.33,108.7,1
73.41,31,73049.3,201.26,1
60.23,60,46239.14,151.54,1
35.66,36,59240.24,172.57,0
65.1,49,59457.52,118.1,1
75.19,31,33502.57,245.76,1
69.11,42,73608.99,231.48,1
60.39,45,38987.42,108.25,1
78.01,26,62729.4,200.71,1
81.05,34,54045.39,245.5,0
46.2,37,51315.38,119.3,0
87.26,35,63060.55,184.03,0
69.77,54,57667.99,132.27,0
73.21,30,51013.37,252.6,1
40.42,45,40183.75,133.9,1
73.72,32,52140.04,256.4,1
72.6,55,66815.54,162.95,0
63.24,53,65229.13,235.78,1
59.12,33,28210.03,124.54,0
71.9,29,72203.96,193.29,1
76.64,39,66217.31,241.5,1
70.58,26,56694.12,136.94,0
55.74,37,26130.93,124.34,1
76.87,27,54774.77,235.35,1
38.91,33,56369.74,150.8,1
54.08,36,53012.94,111.02,1
53.63,54,50333.72,126.29,1
74.02,32,72272.9,210.54,0
86.06,32,61601.05,178.92,1
71.89,23,61617.98,172.81,1
66.18,35,69476.42,243.61,0
79.54,44,70492.6,217.68,1
59.01,30,75265.96,178.75,1
41.73,47,60812.77,144.71,0
34.96,42,36913.51,160.49,1
75.8,38,70575.6,146.19,1
79.36,34,57260.41,245.78,1
86.06,31,53767.12,219.72,1
72.18,30,69438.04,225.02,0
58.03,31,28387.42,129.33,0
85.84,32,62204.93,192.85,1
57.2,42,57739.03,110.66,0
64.75,36,63001.03,117.66,0
81.17,30,57195.96,231.91,1
64.63,45,15598.29,158.8,1
87.98,38,56637.59,222.11,1
35.61,46,51868.85,158.22,0
69.57,48,51636.92,113.12,1
63.26,29,54787.37,120.46,1
45.11,58,39799.73,195.69,0
72.04,22,60309.58,199.43,0
69.47,26,59785.94,236.5,0
68.95,35,61833.9,256.09,0
81.11,39,56216.57,248.19,1
42.32,29,63891.29,187.09,1
61.84,45,46024.29,105.63,1
39.96,35,53898.89,138.52,1
77.36,41,49597.08,115.79,0
81.46,29,51636.12,231.54,0
76.81,28,65172.22,217.85,1
78.19,30,62475.99,228.81,0
72.97,30,71384.57,208.58,1
48.01,46,54286.1,119.93,0
53.33,34,44275.13,111.63,1
45.7,33,67384.31,151.12,1
38.46,42,58183.04,145.98,1
81.99,33,61270.14,230.9,0
77.05,34,65756.36,236.08,0
47.51,51,53700.57,130.41,1
66.4,40,77567.85,214.42,0
67.05,25,65421.39,220.92,0
65.4,33,66699.12,247.31,0
76.02,40,73174.19,219.55,0
77.56,38,63336.85,130.83,1
67.56,47,50628.31,109.98,0
52.56,31,33147.19,250.36,1
63.04,27,69784.85,159.05,0
76.59,29,67526.92,211.64,0
43.02,44,50199.77,125.22,0
54.7,36,31087.54,118.39,1
39.53,33,40243.82,142.21,1
71.86,32,51633.34,116.53,0
52.84,51,38641.2,121.57,1
68.25,29,70324.8,220.08,0
66.77,25,58847.07,141.13,0
41.49,53,31947.65,169.18,0
80.55,35,68016.9,219.91,0
45.99,33,51163.14,124.61,1
72.46,40,56683.32,113.53,0
78.11,27,63296.87,209.25,1
39.85,38,31343.39,145.96,0
88.91,33,53852.85,208.36,0
71.23,52,41521.28,122.59,0
43.6,38,20856.54,170.49,0
69.62,20,50983.75,202.25,1
46.66,45,49101.67,118.16,0
61.72,26,67279.06,218.49,0
77.89,26,64188.5,201.54,0
47.64,49,45632.51,122.02,0
76.58,46,41884.64,258.26,0
36.49,52,42136.33,196.61,1
76.24,40,75524.78,198.32,1
70.92,41,49995.63,108.16,1
80.22,30,61806.31,224.58,0
73.18,23,61526.25,196.71,1
33.21,43,42650.32,167.07,1
55.2,39,76560.59,159.46,1
46.13,31,60248.97,139.01,0
75.7,29,67633.44,215.44,0
40.34,29,32549.95,173.75,0
68.47,28,67033.34,226.64,0
64.38,19,52530.1,180.47,1
70.79,31,74535.94,184.1,0
80.38,30,55130.96,238.06,0
35.98,47,55993.68,165.52,1
37.0,48,36782.38,158.22,1
57.11,22,59677.64,207.17,1
69.96,31,73413.87,214.06,1
68.61,57,61770.34,150.29,0
42.84,52,27073.27,182.2,1
39.25,39,62378.05,152.36,0
36.44,39,52400.88,147.64,1
44.72,46,40468.53,123.86,1
78.7,30,53441.69,133.99,0
79.97,26,61747.98,185.45,1
88.89,35,50439.49,218.8,1
85.03,30,60372.64,204.52,0
32.84,40,41232.89,171.72,0
86.58,32,60151.77,195.93,1
39.3,32,48335.2,145.73,0
